date,product,region,customer_segment,quantity,revenue,cost,profit,churn_risk
2024-02-25,Product_A,East,New,5,5960,4264.82,1695.18,Low
2024-01-15,Product_C,South,High Value,12,2448,1570.28,877.72,Medium
2024-04-10,Product_B,West,High Value,15,15990,10833.0,5157.0,Medium
2024-03-17,Product_C,South,High Value,13,7397,4832.16,2564.84,Low
2024-03-12,Product_B,West,Returning,17,5423,3276.39,2146.61,Low
2024-01-01,Product_D,West,High Value,5,1580,894.56,685.44,Low
2024-04-07,Product_A,South,New,12,14544,8168.47,6375.53,High
2024-04-23,Product_D,South,High Value,15,15015,8978.33,6036.67,Low
2024-04-29,Product_C,North,High Value,8,11680,7077.93,4602.07,High
2024-03-28,Product_C,South,New,7,6321,4177.36,2143.64,Medium
2024-03-02,Product_A,South,New,3,3897,2584.52,1312.48,Low
2024-02-24,Product_D,South,High Value,14,20202,11296.97,8905.03,Low
2024-05-21,Product_A,South,High Value,14,16198,11188.47,5009.53,Low
2024-02-22,Product_C,West,Returning,16,8640,5570.16,3069.84,Low
2024-02-21,Product_A,East,High Value,5,1110,621.17,488.83,High
2024-03-31,Product_A,West,New,4,4004,2411.12,1592.88,Low
2024-02-29,Product_A,North,High Value,19,12179,7918.88,4260.12,Low
2024-05-22,Product_A,North,High Value,13,9295,6257.12,3037.88,High
2024-02-01,Product_A,North,Returning,2,1392,1007.03,384.97,Medium
2024-02-16,Product_A,South,New,12,10668,7090.74,3577.26,Low
2024-06-18,Product_D,West,Returning,19,28329,17768.53,10560.47,High
2024-05-02,Product_D,East,New,10,12660,7458.74,5201.26,Low
2024-02-20,Product_C,East,New,14,20664,11755.51,8908.49,Medium
2024-06-12,Product_D,East,Returning,17,4913,3015.58,1897.42,Medium
2024-03-18,Product_D,West,New,2,628,380.8,247.2,Low
2024-01-18,Product_C,West,High Value,18,23364,16950.45,6413.55,Medium
2024-02-28,Product_D,East,High Value,4,2624,1741.56,882.44,Low
2024-05-03,Product_A,North,Returning,3,3531,2118.61,1412.39,Low
2024-01-23,Product_C,South,High Value,5,2390,1675.17,714.83,Low
2024-06-24,Product_A,North,New,17,4437,2881.0,1556.0,Low
2024-05-14,Product_B,East,Returning,13,11674,6654.14,5019.86,Low
2024-03-17,Product_D,North,New,9,2475,1536.93,938.07,High
2024-02-17,Product_A,South,High Value,19,6517,4168.85,2348.15,Low
2024-06-08,Product_B,East,Returning,4,5496,3881.6,1614.4,Low
2024-06-27,Product_D,South,Returning,10,14090,7911.7,6178.3,Low
2024-05-25,Product_C,East,Returning,5,6930,5041.86,1888.14,Low
2024-04-14,Product_C,West,Returning,18,17100,9894.03,7205.97,Medium
2024-05-27,Product_A,South,High Value,12,13344,7609.08,5734.92,Low
2024-02-21,Product_B,East,New,13,18083,10208.8,7874.2,Medium
2024-06-23,Product_A,East,New,2,456,258.54,197.46,High
2024-02-21,Product_D,South,New,16,11184,6680.62,4503.38,High
2024-05-25,Product_B,North,New,13,17615,10922.07,6692.93,Medium
2024-02-12,Product_B,West,Returning,19,12236,7654.81,4581.19,Medium
2024-01-17,Product_C,South,High Value,10,2380,1515.8,864.2,Low
2024-06-22,Product_C,South,High Value,18,25974,17254.39,8719.61,Medium
2024-02-11,Product_B,North,Returning,8,8224,5876.53,2347.47,Medium
2024-04-02,Product_B,East,New,3,1641,1218.34,422.66,Low
2024-06-22,Product_C,South,High Value,17,17391,11402.83,5988.17,Low
2024-03-18,Product_A,West,Returning,12,10608,7892.09,2715.91,Low
2024-01-24,Product_B,South,New,16,17360,12758.36,4601.64,High
2024-05-13,Product_A,East,Returning,4,5800,3996.68,1803.32,Low
2024-03-19,Product_A,South,New,15,21840,12959.02,8880.98,Low
2024-04-15,Product_B,West,Returning,1,1482,1082.2,399.8,Low
2024-01-29,Product_D,South,Returning,12,11220,6300.85,4919.15,Low
2024-04-23,Product_D,South,High Value,8,10760,6322.84,4437.16,Low
2024-02-13,Product_B,North,Returning,18,13302,7522.91,5779.09,High
2024-06-12,Product_A,West,High Value,17,24208,14813.01,9394.99,Medium
2024-01-07,Product_B,North,New,16,17984,10370.24,7613.76,Low
2024-03-22,Product_D,North,New,6,6492,4512.87,1979.13,Medium
2024-04-11,Product_C,South,New,2,418,307.88,110.12,High
2024-05-27,Product_D,South,New,13,15964,8864.38,7099.62,Low
2024-02-09,Product_D,South,Returning,1,345,257.87,87.13,Low
2024-03-11,Product_A,West,New,17,5168,3271.16,1896.84,Low
2024-01-08,Product_C,North,New,16,16352,11821.59,4530.41,Medium
2024-01-05,Product_A,North,Returning,5,4850,3206.27,1643.73,Medium
2024-01-11,Product_B,West,High Value,5,4565,3286.48,1278.52,Low
2024-06-10,Product_A,North,High Value,14,9184,5288.44,3895.56,High
2024-03-08,Product_A,East,Returning,13,8424,5764.88,2659.12,Medium
2024-05-05,Product_A,West,Returning,8,2824,1834.56,989.44,Low
2024-05-31,Product_B,East,High Value,3,1401,999.3,401.7,High
2024-03-25,Product_D,West,Returning,17,13991,9038.31,4952.69,Low
2024-05-28,Product_C,West,New,5,5260,3565.61,1694.39,Medium
2024-04-06,Product_A,West,New,7,6741,5029.41,1711.59,Medium
2024-03-21,Product_C,South,New,18,17946,11861.64,6084.36,Low
2024-03-09,Product_C,North,Returning,2,896,584.91,311.09,Medium
2024-01-31,Product_B,East,Returning,10,2800,2071.73,728.27,Low
2024-03-19,Product_B,North,Returning,17,16728,10064.38,6663.62,Low
2024-04-25,Product_A,South,Returning,2,504,312.22,191.78,Low
2024-02-03,Product_B,East,New,11,3410,1963.4,1446.6,Low
2024-03-14,Product_A,South,High Value,11,12089,7088.7,5000.3,Low
2024-02-25,Product_B,West,High Value,3,4254,2778.06,1475.94,High
2024-05-01,Product_D,South,Returning,19,23332,14442.89,8889.11,Low
2024-05-10,Product_B,North,New,6,5064,3251.88,1812.12,Low
2024-03-06,Product_C,North,High Value,2,2602,1602.88,999.12,Low
2024-05-09,Product_A,South,Returning,15,20160,13861.15,6298.85,Low
2024-05-08,Product_A,South,Returning,11,11330,7086.43,4243.57,Low
2024-05-28,Product_C,East,New,4,5920,3356.07,2563.93,Low
2024-02-10,Product_C,East,New,15,7530,4699.43,2830.57,Low
2024-02-06,Product_A,South,Returning,14,20146,13983.4,6162.6,Low
2024-06-15,Product_B,East,Returning,19,23370,16065.31,7304.69,Medium
2024-04-05,Product_D,North,New,11,16467,10530.36,5936.64,Low
2024-04-13,Product_A,East,High Value,15,21225,12816.69,8408.31,Low
2024-05-28,Product_A,North,New,10,12620,7753.93,4866.07,Low
2024-05-10,Product_A,East,New,12,8832,6430.63,2401.37,Low
2024-06-01,Product_D,East,Returning,4,1064,723.27,340.73,Low
2024-02-12,Product_A,West,High Value,4,1240,864.73,375.27,Low
2024-03-07,Product_B,North,High Value,8,7576,4360.11,3215.89,Low
2024-05-24,Product_A,South,High Value,6,5346,3630.91,1715.09,Low
2024-05-26,Product_B,North,New,13,11193,6660.58,4532.42,Low
2024-03-04,Product_D,West,Returning,16,11440,8238.67,3201.33,Low
2024-01-27,Product_A,South,New,9,8622,4831.14,3790.86,Low
2024-03-03,Product_B,South,High Value,5,3735,2799.2,935.8,High
2024-03-17,Product_D,West,Returning,11,2233,1230.52,1002.48,High
2024-04-28,Product_D,North,New,6,6876,4910.65,1965.35,Medium
2024-04-05,Product_B,North,High Value,11,13739,8325.78,5413.22,Medium
2024-02-07,Product_A,West,New,6,8046,5569.36,2476.64,Low
2024-02-16,Product_A,West,High Value,17,5763,3302.01,2460.99,Medium
2024-04-30,Product_C,West,New,6,2028,1493.43,534.57,Low
2024-05-10,Product_A,West,Returning,3,3303,2039.01,1263.99,Low
2024-02-26,Product_C,North,New,10,3710,2190.18,1519.82,Medium
2024-05-22,Product_D,North,Returning,1,528,370.68,157.32,Low
2024-02-17,Product_A,South,Returning,6,7908,5819.54,2088.46,Medium
2024-02-08,Product_D,North,Returning,12,6396,4711.21,1684.79,High
2024-03-27,Product_D,West,New,2,1574,985.08,588.92,High
2024-06-26,Product_A,North,New,8,8576,6004.06,2571.94,Medium
2024-03-14,Product_D,East,New,3,2772,1627.94,1144.06,Low
2024-06-11,Product_A,East,High Value,14,10822,6728.75,4093.25,High
2024-01-20,Product_C,North,High Value,18,8910,5705.87,3204.13,Medium
2024-01-27,Product_C,West,Returning,19,11799,7763.23,4035.77,Low
2024-03-13,Product_A,South,Returning,1,864,536.61,327.39,Low
2024-04-16,Product_C,East,High Value,2,2040,1491.84,548.16,Medium
2024-05-10,Product_B,West,Returning,19,7543,5566.48,1976.52,Medium
2024-05-18,Product_A,East,New,8,6024,3480.99,2543.01,Medium
2024-04-19,Product_C,West,New,1,677,493.38,183.62,Medium
2024-04-17,Product_A,North,High Value,6,7920,5475.86,2444.14,Medium
2024-02-09,Product_C,North,New,1,1477,872.77,604.23,Medium
2024-03-18,Product_B,North,New,5,5320,3035.5,2284.5,Low
2024-04-14,Product_A,North,Returning,15,6405,4108.17,2296.83,Medium
2024-06-21,Product_C,South,High Value,15,20700,13620.02,7079.98,Low
2024-06-09,Product_C,West,New,4,4172,2938.66,1233.34,Low
2024-05-28,Product_B,South,High Value,19,18126,12019.38,6106.62,Medium
2024-04-14,Product_D,North,Returning,5,1050,778.91,271.09,Low
2024-02-27,Product_A,North,Returning,6,5466,3469.38,1996.62,Low
2024-01-28,Product_C,West,Returning,11,6545,4793.36,1751.64,Low
2024-06-06,Product_D,East,New,18,21312,12812.84,8499.16,Medium
2024-02-28,Product_A,East,High Value,11,13233,8773.83,4459.17,Medium
2024-02-29,Product_D,West,High Value,5,1630,946.23,683.77,Low
2024-01-17,Product_C,West,High Value,9,10917,6173.17,4743.83,Low
2024-02-08,Product_D,North,Returning,9,8802,5634.76,3167.24,Low
2024-02-11,Product_A,West,New,14,8666,4982.37,3683.63,High
2024-02-29,Product_C,South,Returning,19,21565,14482.6,7082.4,Low
2024-03-15,Product_A,East,Returning,9,3609,2564.45,1044.55,Low
2024-05-13,Product_C,North,High Value,9,6966,4408.79,2557.21,High
2024-05-27,Product_D,South,New,6,3510,2257.42,1252.58,Low
2024-06-17,Product_B,West,High Value,17,14263,8485.36,5777.64,Low
2024-04-01,Product_D,North,High Value,19,26695,15623.98,11071.02,Low
2024-03-13,Product_B,South,New,6,8304,5169.06,3134.94,Low
2024-04-09,Product_A,North,High Value,18,22896,13408.06,9487.94,High
2024-02-06,Product_C,North,High Value,17,5899,3733.62,2165.38,Low
2024-01-04,Product_B,North,Returning,8,6080,3708.31,2371.69,Low
2024-06-24,Product_A,South,Returning,19,21869,15955.86,5913.14,Low
2024-03-22,Product_A,West,High Value,17,10676,6678.32,3997.68,Medium
2024-05-07,Product_C,East,New,19,4123,2510.12,1612.88,Medium
2024-01-02,Product_B,East,Returning,18,7074,4646.85,2427.15,Low
2024-05-19,Product_C,West,New,6,6876,3995.29,2880.71,Low
2024-03-19,Product_A,South,New,7,6993,4226.99,2766.01,High
2024-03-27,Product_C,South,High Value,2,572,426.59,145.41,Medium
2024-02-28,Product_B,North,High Value,7,8617,4786.05,3830.95,Low
2024-06-21,Product_A,North,New,8,10216,6312.0,3904.0,Low
2024-03-15,Product_C,East,New,19,22914,15906.04,7007.96,Medium
2024-06-02,Product_C,North,High Value,14,18802,13375.18,5426.82,High
2024-03-16,Product_D,West,High Value,5,1905,1125.85,779.15,Low
2024-02-03,Product_B,South,New,16,3296,2230.23,1065.77,Medium
2024-06-26,Product_D,East,Returning,19,21166,14109.43,7056.57,Low
2024-04-08,Product_D,South,Returning,2,2028,1368.8,659.2,Low
2024-01-15,Product_D,West,New,2,1812,1210.52,601.48,Low
2024-02-12,Product_A,East,New,5,5020,3172.05,1847.95,Low
2024-06-09,Product_C,West,New,2,2552,1553.9,998.1,High
2024-05-05,Product_B,East,High Value,12,9504,6877.98,2626.02,Low
2024-02-01,Product_A,South,New,14,4578,2684.64,1893.36,Low
2024-03-20,Product_D,East,High Value,17,12325,8607.01,3717.99,Medium
2024-04-16,Product_D,North,New,7,9968,5760.22,4207.78,Medium
2024-03-06,Product_D,South,Returning,4,3460,2266.78,1193.22,Low
2024-06-03,Product_D,West,New,5,1370,978.89,391.11,Low
2024-02-13,Product_A,South,Returning,10,2400,1451.55,948.45,Low
2024-06-06,Product_C,South,New,6,4722,2792.04,1929.96,Low
2024-04-05,Product_A,East,High Value,6,5580,3735.71,1844.29,Medium
2024-05-29,Product_B,North,High Value,7,7735,5668.85,2066.15,Low
2024-06-14,Product_B,South,New,14,4606,2686.48,1919.52,Medium
2024-03-24,Product_B,East,High Value,19,16948,11365.84,5582.16,Low
2024-01-29,Product_A,North,Returning,11,2310,1434.82,875.18,Medium
2024-01-15,Product_B,South,Returning,7,6601,4378.32,2222.68,Low
2024-01-14,Product_C,South,High Value,15,12945,9545.2,3399.8,Medium
2024-03-06,Product_D,South,High Value,1,950,572.33,377.67,Low
2024-06-06,Product_B,South,Returning,11,12727,9431.31,3295.69,Low
2024-02-03,Product_C,East,Returning,9,3177,2048.68,1128.32,Low
2024-01-16,Product_C,North,New,8,9920,6274.98,3645.02,Medium
2024-03-23,Product_B,North,High Value,8,1928,1237.65,690.35,Low
2024-06-10,Product_D,West,New,18,26136,14387.03,11748.97,High
2024-01-17,Product_C,South,New,6,6390,3646.25,2743.75,Low
2024-03-02,Product_C,North,High Value,17,19652,13913.67,5738.33,Medium
2024-02-25,Product_C,North,High Value,17,3587,2361.61,1225.39,High
2024-05-04,Product_C,West,Returning,8,6880,4828.43,2051.57,Medium
2024-01-22,Product_A,East,Returning,16,14544,10851.5,3692.5,High
2024-02-05,Product_D,North,High Value,12,8256,6099.63,2156.37,Low
2024-01-09,Product_B,South,New,10,12390,9107.27,3282.73,Low
2024-06-21,Product_C,West,Returning,7,3738,2577.29,1160.71,Low
2024-01-06,Product_C,South,Returning,16,16416,12129.02,4286.98,Low
2024-05-21,Product_C,East,High Value,7,8358,5130.31,3227.69,Medium
2024-03-17,Product_B,East,Returning,17,23494,14635.34,8858.66,Low
2024-06-26,Product_B,North,New,13,17173,12484.77,4688.23,Low
2024-06-06,Product_D,East,New,12,2856,1750.89,1105.11,Low
2024-02-25,Product_B,East,Returning,13,11973,7830.74,4142.26,Low
2024-05-25,Product_C,South,High Value,12,13116,8309.0,4807.0,Low
2024-01-02,Product_C,East,High Value,2,1226,674.36,551.64,Low
2024-06-20,Product_C,North,Returning,18,22716,12536.89,10179.11,Low
2024-03-23,Product_B,South,New,17,11492,6407.01,5084.99,Low
2024-06-27,Product_D,South,New,16,23392,14728.95,8663.05,Low
2024-04-26,Product_C,South,New,7,3773,2631.73,1141.27,Low
2024-04-10,Product_D,West,High Value,3,4095,2495.5,1599.5,High
2024-01-16,Product_A,West,High Value,18,8856,4945.36,3910.64,Low
2024-05-14,Product_D,West,High Value,14,10976,6277.1,4698.9,Low
2024-05-25,Product_A,East,Returning,4,5452,4041.48,1410.52,Medium
2024-02-07,Product_B,East,Returning,5,5690,3799.27,1890.73,High
2024-04-11,Product_B,South,High Value,14,2940,2148.39,791.61,High
2024-06-28,Product_B,South,Returning,7,5341,3006.97,2334.03,Low
2024-05-02,Product_A,North,New,19,25270,14790.67,10479.33,Low
2024-01-22,Product_C,West,New,17,11985,8460.41,3524.59,Low
2024-03-03,Product_D,North,High Value,5,1265,940.93,324.07,High
2024-01-16,Product_A,West,Returning,3,3729,2792.95,936.05,Low
2024-03-26,Product_B,West,High Value,10,6180,4336.18,1843.82,Medium
2024-01-13,Product_D,West,Returning,3,1077,692.16,384.84,Medium
2024-01-11,Product_B,North,New,15,19680,13157.81,6522.19,Low
2024-03-09,Product_D,North,Returning,2,2980,2161.97,818.03,Low
2024-04-16,Product_A,West,New,9,12762,9458.3,3303.7,High
2024-04-29,Product_B,South,Returning,9,2151,1583.82,567.18,Medium
2024-03-18,Product_A,East,New,2,2366,1420.85,945.15,Low
2024-05-05,Product_D,East,Returning,5,6995,4540.98,2454.02,Low
2024-02-23,Product_D,East,High Value,16,18752,13668.26,5083.74,High
2024-04-24,Product_D,North,New,18,22734,16518.1,6215.9,Low
2024-03-18,Product_D,West,High Value,19,17043,11321.05,5721.95,Medium
2024-03-18,Product_C,East,New,8,11880,7772.51,4107.49,High
2024-06-08,Product_D,West,New,1,770,557.06,212.94,Medium
2024-02-10,Product_D,East,High Value,11,8316,5733.83,2582.17,Medium
2024-01-16,Product_B,South,Returning,6,5394,3137.8,2256.2,High
2024-05-05,Product_A,North,New,19,23826,17039.48,6786.52,Low
2024-02-08,Product_D,North,New,11,3091,2205.72,885.28,Medium
2024-04-10,Product_D,South,Returning,12,5928,3489.38,2438.62,Low
2024-05-19,Product_C,East,High Value,17,24752,16741.33,8010.67,Low
2024-02-04,Product_A,West,Returning,13,11362,6540.99,4821.01,Low
2024-01-29,Product_C,South,High Value,7,5495,3497.28,1997.72,Medium
2024-02-01,Product_A,South,High Value,15,21675,15188.53,6486.47,Medium
2024-03-09,Product_D,North,New,4,5860,4333.23,1526.77,Low
2024-02-18,Product_C,East,Returning,12,13404,9271.74,4132.26,Low
2024-05-05,Product_D,West,New,18,9090,6799.59,2290.41,Medium
2024-05-08,Product_B,North,High Value,12,11544,6649.54,4894.46,Medium
2024-03-30,Product_D,West,Returning,7,1596,884.86,711.14,Low
2024-02-23,Product_A,East,High Value,15,17190,10322.63,6867.37,Low
2024-03-24,Product_B,South,High Value,2,1874,1404.42,469.58,Low
2024-05-15,Product_A,West,High Value,13,3094,2027.82,1066.18,Medium
2024-01-24,Product_C,North,High Value,11,11913,8553.41,3359.59,Medium
2024-04-08,Product_D,North,Returning,11,11528,8561.24,2966.76,Low
2024-03-09,Product_C,South,Returning,15,16020,10856.84,5163.16,Low
2024-01-02,Product_C,West,High Value,5,7400,4544.7,2855.3,Medium
2024-04-10,Product_D,South,High Value,2,2772,1541.86,1230.14,Medium
2024-04-26,Product_A,West,Returning,12,17928,11551.13,6376.87,Low
2024-06-13,Product_A,East,New,14,16576,11996.46,4579.54,Medium
2024-03-25,Product_D,South,Returning,15,18750,13480.44,5269.56,Medium
2024-01-10,Product_D,South,High Value,3,1644,947.35,696.65,Low
2024-03-22,Product_B,South,High Value,3,3345,2372.63,972.37,Low
2024-04-28,Product_D,West,New,14,9156,5265.04,3890.96,Medium
2024-03-26,Product_D,North,Returning,4,2880,1699.5,1180.5,Low
2024-03-29,Product_C,East,High Value,2,1566,958.51,607.49,Low
2024-03-16,Product_A,West,High Value,8,3784,2596.17,1187.83,Low
2024-02-11,Product_B,West,High Value,15,12090,8395.02,3694.98,Medium
2024-05-23,Product_D,North,New,1,301,220.2,80.8,Medium
2024-04-14,Product_A,West,New,19,24909,14426.9,10482.1,Low
2024-06-14,Product_C,North,High Value,14,11074,7159.02,3914.98,Low
2024-06-09,Product_C,East,High Value,1,913,643.81,269.19,High
2024-05-13,Product_B,North,High Value,1,201,132.03,68.97,High
2024-02-11,Product_B,West,High Value,1,788,445.78,342.22,Low
2024-05-12,Product_C,East,Returning,2,2778,1843.23,934.77,Medium
2024-01-19,Product_A,South,New,18,6156,3632.22,2523.78,Low
2024-05-12,Product_D,North,Returning,17,8772,6064.04,2707.96,Low
2024-06-21,Product_B,West,New,6,7776,4357.63,3418.37,Low
2024-05-18,Product_A,West,High Value,18,16470,11927.47,4542.53,Medium
2024-03-02,Product_A,West,High Value,15,6750,4366.44,2383.56,Medium
2024-02-03,Product_B,South,New,16,17584,11772.4,5811.6,Medium
2024-02-15,Product_A,North,High Value,3,4050,2653.89,1396.11,Medium
2024-02-27,Product_C,East,High Value,11,12947,7277.13,5669.87,Low
2024-06-21,Product_D,South,High Value,13,19058,11317.46,7740.54,High
2024-04-07,Product_B,South,New,4,3536,2073.59,1462.41,Medium
2024-05-13,Product_D,North,Returning,19,21147,14393.76,6753.24,Low
2024-04-15,Product_A,North,New,9,11538,7846.59,3691.41,Low
2024-03-26,Product_C,West,Returning,3,1932,1090.5,841.5,Low
2024-06-23,Product_C,North,Returning,1,1102,708.06,393.94,High
2024-01-14,Product_D,West,High Value,5,3575,2492.03,1082.97,Medium
2024-03-11,Product_A,South,New,18,20628,13732.78,6895.22,Low
2024-02-04,Product_D,North,New,2,1554,1040.47,513.53,Medium
2024-05-26,Product_D,West,New,7,6678,4464.04,2213.96,High
2024-05-27,Product_A,West,Returning,12,17520,11268.21,6251.79,Medium
2024-03-13,Product_D,South,High Value,1,1066,751.74,314.26,Low
2024-02-13,Product_C,South,Returning,10,11390,7113.85,4276.15,Low
2024-04-28,Product_D,North,High Value,5,5180,2920.62,2259.38,Low
2024-06-27,Product_D,South,New,15,3195,2086.22,1108.78,Low
2024-03-22,Product_C,North,New,2,2074,1411.2,662.8,Low
2024-05-16,Product_A,South,Returning,2,2772,1888.69,883.31,Low
2024-05-10,Product_C,East,Returning,8,5272,3037.59,2234.41,High
2024-03-02,Product_B,North,High Value,15,7290,4353.66,2936.34,Low
2024-01-08,Product_A,West,High Value,14,11074,7241.9,3832.1,Low
2024-06-13,Product_A,West,High Value,9,13320,8523.29,4796.71,Low
2024-05-06,Product_A,South,High Value,12,8544,5130.72,3413.28,Low
2024-06-26,Product_C,South,High Value,11,9746,6654.19,3091.81,Low
2024-03-23,Product_B,South,New,17,6035,4362.36,1672.64,Low
2024-06-20,Product_D,North,Returning,18,9594,5386.24,4207.76,Low
2024-04-30,Product_B,West,Returning,1,318,189.19,128.81,Low
2024-05-16,Product_B,South,Returning,5,6920,4508.01,2411.99,Low
2024-02-27,Product_C,North,High Value,10,4750,3549.8,1200.2,High
2024-04-01,Product_A,West,New,11,3575,2646.8,928.2,Medium
2024-02-03,Product_D,East,High Value,7,10122,6081.75,4040.25,Low
2024-05-01,Product_B,West,High Value,12,4200,2335.18,1864.82,Low
2024-04-29,Product_B,East,High Value,16,15120,10532.29,4587.71,Low
2024-06-28,Product_C,South,Returning,1,1214,831.01,382.99,Low
2024-04-06,Product_A,North,Returning,5,1425,856.51,568.49,Medium
2024-05-03,Product_A,West,Returning,11,3443,2061.77,1381.23,Medium
2024-04-23,Product_B,North,High Value,15,14145,9953.89,4191.11,Low
2024-02-15,Product_A,East,High Value,14,14000,9381.71,4618.29,High
2024-02-17,Product_C,North,High Value,14,17864,12208.16,5655.84,Low
